"","id","Hotel_Name","Hotel_Country","Hotel_City","Hotel_lat","Hotel_lng","Businesses_100m","Businesses_1km","Businesses_5km","Room_Type_Level","Guest_Type","Trip_Type","Stay_Duration","Review_Date","Days_Since_Review","Is_Hotel_Holiday","Is_Reviewer_Holiday","Total_Number_of_Reviews","Review_Is_Positive","Review_Positivity_Rate","Reviewer_Nationality","Negative_Review","Review_Total_Negative_Word_Counts","Positive_Review","Review_Total_Positive_Word_Counts","Average_Score","Reviewer_Score","Total_Number_of_Reviews_Reviewer_Has_Given","Additional_Number_of_Scoring","Submitted_from_Mobile"
"19644",19656,"Grange St Paul s Hotel","GB","London",51.5127625,-0.0997157,"26","1700","20500","NULL","Family with young children","Leisure trip","1",20170117,"198 day",0,0,2635,1,85.7143,"United Kingdom ","Nothing ",3,"Just a fabulous building and great for kids who are experiencing proper hotels and grown up London",18,8.5,10,2,788,0
"17104",17116,"Intercontinental London The O2","GB","London",51.5024348,-0.0002497,"1","111","3400","Deluxe","Couple","Leisure trip","1",20160506,"454 day",0,0,4204,0,42.8571,"United Kingdom ","As with all in Lobdon ridiculous price for food and drinks",12,"Closeness to O2 arena room size and views",9,9.4,8.8,21,1258,1
"42253",42265,"London Marriott Hotel Regents Park","GB","London",51.5421476,-0.1703073,"2","481","16300","Deluxe","Couple","Leisure trip","2",20170627,"37 days",0,0,1640,0,0,"United Kingdom ","WAS CHARGED BREAKFAST FOR BOTH DAYS BUT ONLY REQUIRED IT ON THE ONE DAY",15,"No Positive",0,8.3,9.6,1,397,0
"183069",183081,"St James Court A Taj Hotel London","GB","London",51.4986732,-0.1376867,"23","2900","20400","Classic","Family with young children","Leisure trip","1",20170625,"39 days",0,0,5394,0,20,"United Kingdom ","Not 4 star dirty in some areas very expensive for a very small room no signs to put on doors when I wanted to get my room cleaned 12 50 for a Pimms with hardly any Pimms in ",40,"Very well located easy to get to central locations",10,8.7,5.4,12,1299,1
"74159",74171,"The Park City Grand Plaza Kensington Hotel","GB","London",51.4954976,-0.1893691,"10","926","11500","NULL","Couple","Leisure trip","1",20160322,"499 day",0,0,667,1,69.697,"United Kingdom ","The breakfast was OK but no more than that",10,"The room was very good as was the welcome and we were able to book in a bit early which was nice",23,8.3,7.1,10,137,1
"419602",419614,"art otel Amsterdam","NL","Amsterdam",52.377743,4.897057,"68","2600","9500","NULL","Couple","Leisure trip","3",20160111,"570 day",0,0,3158,1,100,"United Kingdom ","No Negative",0,"Perfect hotel loved everything about it",7,9,10,2,482,1
"61536",61548,"Best Western S vres Montparnasse","FR","Paris",48.843707,2.3155631,"10","1300","27100","Classic","Couple","Leisure trip","3",20150825,"709 day",0,0,1544,0,5.94595,"Switzerland ","We ordered a double bed we got two separate beds which were sliding apart from each other For a couple that wants to spend its second honeymoon that is a real killer One of us occasionally dropped inbetween the two beds onto the floor View was not that cool were stirring at a wall from another house where we were facing kitchen and bathroom Windows including all the sounds The worst thing about this place was the breakfast First morning we went down and the first thing I spotted was dirty forks and knives I thought ok I m gonna take a tissue and clean it myself because all of the forks and knives located in a basket were dirty Plates were dirty too all of them But finally and that was the reason that made us leave were the cups prepared on the table dirty crusts from hot chocolate crusts from old coffee really awful Short excuse from the guy at the counter that s it WiFi slow bad coverage sometimes outages",174,"Placed near the center of Paris nice place helpful staff",11,7.8,6.7,1,90,1
"421255",421267,"Dikker en Thijs Fenice Hotel","NL","Amsterdam",52.364971,4.8839827,"108","3000","9400","Business","Solo traveler","Business trip","1",20160128,"553 day",0,0,1971,1,100,"Estonia ","No Negative",0,"Good atmosphere in an old building large rooms excellent breakfast ",12,8.4,9.6,7,278,0
"257969",257981,"Sydney House Chelsea","GB","London",51.4910062,-0.1717691,"10","825","17200","NULL","Couple","Business trip","1",20160917,"320 day",0,0,585,1,100,"United Kingdom ","No Negative",0,"Really comfy pillows rooms were clean and comfortable",9,8.7,8.3,1,144,1
"510022",510034,"The Student Hotel Amsterdam City","NL","Amsterdam",52.3546649,4.9131641,"6","528","8800","NULL","Couple","Business trip","2",20170728,"6 days",0,0,7656,1,63.6364,"United Kingdom ","Was all good",4,"How close was to city centre",7,8.7,9.6,1,975,1
"75049",75061,"Park Plaza London Riverbank","GB","London",51.4913737,-0.1214194,"6","773","21300","NULL","Couple","Leisure trip","1",20160331,"490 day",0,0,4684,1,85.2941,"United Kingdom ","Not a lot ",5,"The Staff were extremely professional There was also a problem with the room next door playing a Guitar quite late which the staff sorted out Very promptly ",29,8.3,9.6,1,1195,0
"278996",279008,"Catalonia Atenas","ES","Barcelona",41.4110056,2.1866009,"6","625","12900","NULL","Couple","Couple","1",20170612,"52 days",0,0,6792,1,100,"France ","No Negative",0,"Everything just perfect",4,7.9,10,7,541,1
"48627",48639,"Park Grand London Lancaster Gate","GB","London",51.5132069,-0.1807816,"17","859","14200","NULL","Family with older children","Leisure trip","2",20160616,"413 day",0,0,1519,1,91.6667,"United Kingdom ","nothing",2,"Friendly staff decent sized room big bed Excellent location within a few minutes walk of Hyde Park and Paddington station ",22,8.8,10,8,289,0
"147423",147435,"H tel du Minist re","FR","Paris",48.8712877,2.3191903,"9","2200","28300","NULL","Solo traveler","Business trip","1",20161105,"271 day",0,0,949,1,77.7778,"United Kingdom ","Nothing",2,"A bit quirky and comfortable ",7,8.8,10,4,83,1
"374740",374752,"Alma Barcelona GL","ES","Barcelona",41.3945074,2.1632659,"35","3900","14100","Executive","Group","Leisure trip","3",20160614,"415 day",0,0,593,0,10.9091,"Saudi Arabia ","Rooms were a bit dark The balcony didn t open unless we requested someone to come in and unlock them Food was below average in taste from what we ordered Mini bar was free which was lovely but poorly stocked Payable snack options would have been great ",49,"The beds were heavenly clouds",6,9.2,8.3,1,87,0
"128757",128769,"Park Grand Paddington Court","GB","Paddington",51.5135555,-0.180002,"25","855","14800","NULL","Family with older children","Leisure trip","4",20160708,"391 day",0,0,6608,1,100,"United States of America ","No Negative",0,"Great quiet location Staff was very professional and helpful Room is small but expected Made good use of space in room and bathroom ",25,8.1,9.6,1,1243,1
"334150",334162,"The Cumberland A Guoman Hotel","GB","London",51.514879,-0.1606501,"39","1100","19100","Executive","Couple","Leisure trip","3",20160728,"371 day",0,0,5180,0,18.1818,"Saudi Arabia ","The room was very small for executive standers",9,"Location",2,7.5,4.6,11,1190,0
"363297",363309,"Hilton London Wembley","GB","London",51.5576962,-0.2835263,"11","554","2800","NULL","Couple","Leisure trip","1",20151011,"662 day",0,0,4305,1,100,"United Kingdom ","No Negative",0,"The hotel was very modern and open plan but the atmosphere was very good and staff were very helpful and pleasant",22,8.8,10,3,1427,1
"81944",81956,"Pullman Paris Montparnasse","FR","Paris",48.8382943,2.3210421,"12","1900","28500","NULL","Solo traveler","Business trip","1",20170306,"150 day",0,0,1501,0,30,"United Kingdom ","Service in Cafe Atlantic for an evening meal was extremely poor twice had to ask for a menu and then i was kept waiting for 20 mins before I could order a meal ",35,"Receptionist very helpful and pleasant and got a great room overlooking Montparnasse Tower ",15,8.1,7.5,1,151,0
"98990",99002,"Twenty Nevern Square Hotel","GB","London",51.4915712,-0.1963192,"4","842","10200","NULL","Family with young children","Leisure trip","4",20161024,"283 day",0,0,1719,1,63.6364,"Switzerland ","Room too small",4,"Nice employees and good location Quiet",7,8.3,7.5,1,305,0
"321409",321421,"DoubleTree By Hilton London Excel","GB","London",51.507377,0.038657,"3","50","2200","NULL","Couple","Leisure trip","1",20170627,"37 days",0,0,2726,0,40.3846,"United Kingdom ","The air con in the room seemed to come on and go straight to being really cold It wouldnt turn off so had to turn it to hot before it eventually went off on its own Also the lights in the bathroom are a little dim Not great when you are trying to do your makeup but thats just me ",62,"Great comfy bed Spacious room great facilities easy check in loved the steam proof mirror in the bathroom Have stayed here before and was just as good as the first visit And free cookie at check in is a bonus ",42,8.4,10,1,853,1
"429017",429029,"Austria Trend Hotel Doppio Wien","AT","Vienna",48.1854312,16.404884,"2","191","6200","Classic","Couple","Leisure trip","2",20151203,"609 day",0,0,3010,1,56.4103,"Slovakia ","The optional breakfast was pretty expensive but maybe for Wien it s a standard prize ",17,"The rooms were perfectly clean air conditioned silent double window and luxuriously furnished Great advantage was also free private parking ",22,8.7,9.2,24,207,0
"68121",68133,"Britannia International Hotel Canary Wharf","GB","London",51.5019097,-0.0232208,"7","447","4700","NULL","Solo traveler","Business trip","1",20160107,"574 day",0,0,9086,0,12.5,"United Kingdom ","Dirty uncomfortable broken air conditioning stuck at 28 8 cheap pillows dirty EVERYTHING",14,"nothing",2,7.1,4.2,5,2682,1
"433594",433606,"Catalonia Square 4 Sup","ES","Barcelona",41.3885658,2.1712991,"41","4200","13800","Superior","Couple","Leisure trip","6",20151118,"624 day",0,0,1711,1,100,"United States of America ","No Negative",0,"Great staff Did every thing to make our stay wonderful Location is perfect ",15,9.4,10,2,198,1
"271868",271880,"Apollo Hotel Amsterdam","NL","Amsterdam",52.3486098,4.8844292,"3","1200","9400","Standard","Couple","Leisure trip","2",20151126,"616 day",0,0,2968,0,4.5045,"China ","1 the location is a little far from the tram stop for about 10 15 min walk and it takes about 30 minutes for tram to get to the central station 2 the room s sound insulation is not good enough cause we can hear the bathing water s sound from upstairs in the mid night and luggage pulling and dragging sound in the early morning 3 we call the sevice center at 10 30 am to inform our room need cleaning after we leave but when we arrived the room late in the night the room hadn t been cleaned during the day ",106,"wifi signal is good",5,8.2,6.7,15,419,0
"385960",385972,"Hotel Die Port van Cleve","NL","Amsterdam",52.3741426,4.8907741,"65","3500","9400","NULL","Couple","Leisure trip","3",20160927,"310 day",0,0,1189,1,73.5537,"United Kingdom ","Hot breakfasts were a little too cool for my liking Serving plates were cold I regard this as a relatively minor point in an otherwise exceptional experience Dinners were superb ",32,"Hotel was not full when we stayed there and we arrived to find we were upgraded to an executive room a great surprise since it was my wife s birthday and our wedding anniversary All of the staff from the manager to the domestics were outwardly friendly and helpful The standard of cleanliness exceeded that of a few 5 star hotels I ve used in the UK I don t think we could have a picked a more conveniently located hotel for our first visit to Amsterdam ",89,8,10,1,191,0
"494319",494331,"Bianca Maria Palace Hotel","IT","Milan",45.4635445,9.2068649,"19","1100","9900","NULL","Family with older children","Leisure trip","2",20160726,"373 day",0,0,2770,0,29.0909,"Australia ","Street noise especially trams ask for higher floor as we were on the first floor Also given disabled person room seems if you ask for twin beds the rooms are always not a good as regular rooms ",39,"Good location within walking distance of city centre good staff and breakfast Clean room ",16,9,8.3,15,231,1
"134732",134744,"Royal Saint Michel","FR","Paris",48.8528364,2.3440803,"99","4700","30000","NULL","Group","Leisure trip","1",20151201,"611 day",0,0,1193,1,62.5,"United Kingdom ","Small room",3,"Central location near metro",5,8,8.8,1,120,1
"100005",100017,"Mercure Paris Centre Tour Eiffel","FR","Paris",48.8548641,2.2923181,"7","1300","17400","Privilege","Solo traveler","Business trip","2",20170304,"152 day",0,0,2611,1,63.1579,"United Kingdom ","Bathroom could have been cleaner ",7,"Friendly helpful staff Comfotable quiet room with excellent in room facilities",12,8,9.2,4,333,0
"201165",201177,"Les Jardins De La Villa Spa","FR","Paris",48.8801757,2.2859534,"21","1400","14700","NULL","Solo traveler","Business trip","3",20160723,"376 day",0,0,622,0,7.5,"United Kingdom ","Fridge was not working for 3 days No replacement of shampoo and shower gel and cotton pad No replacement of complementary water in 3 days Cleaning was not done properly with rubbish staying on the bedside",37,"Location atmosphere",3,8.8,5.8,4,50,1
"379893",379905,"Golden Tulip Amsterdam West","NL","Amsterdam",52.385601,4.8470597,"5","150","5800","NULL","Couple","Leisure trip","4",20170220,"164 day",0,0,7586,0,34.7826,"United Kingdom ","Room clean except cupboards had layers of dust so obviously not cleaned on a regular basis Pillows not the comfiest 2 separate trams to get to the centre ",30,"Lovely room for price we paid Very surprised at how nice considering low cost ",16,8.5,8.3,2,914,1
"512996",513008,"Holiday Inn London Kensington","GB","London",51.499981,-0.1928791,"29","1100","10600","NULL","Solo traveler","Business trip","2",20170102,"213 day",0,0,5945,0,17.5439,"United Kingdom ","My shower stopped working twice When I got there it was dirty I got woke up three times but people knocking on my door had a phone call at 6 o clock in the morning Them for them to turn round and say sorry wrong room",47,"The location Was good And the w welcoming stuff",10,7.8,4.6,1,1172,1
"222696",222708,"DoubleTree by Hilton London Islington","GB","London",51.5322508,-0.1095714,"45","1700","21700","NULL","Family with young children","Leisure trip","3",20170708,"26 days",0,0,2277,0,50,"United Kingdom ","Everything",2,"Nothing",2,8.6,4.6,1,685,1
"394751",394763,"Sall s Hotel Pere IV","ES","Barcelona",41.3969273,2.192267,"14","650","12200","NULL","Group","Leisure trip","3",20170506,"89 days",0,0,3130,0,34.2105,"United Kingdom ","Staff rude at times especially cleaning maids They didn t decide to clean room till after 4pm which we was getting ready for evening meal View from room wasn t good Noise coming from our electricity box at night which we couldn t figure out why Breakfast over priced",50,"Room was big and spacey 5 minute walk from the nearest metro station Lovely bar next door but does not open till 6pm Quiet enough",26,7.9,7.5,2,252,1
"418231",418243,"Sofitel Vienna Stephansdom","AT","Vienna",48.212857,16.37986,"103","1900","9900","Superior","Couple","Leisure trip","4",20161228,"218 day",0,0,1148,0,26.5306,"United Arab Emirates ","The one bad experience we had was at breakfast which we didn t have included but we tried it one morning My husband ordered the scrambled egg whites When his eggs arrived they brought regular eggs No problem I called the waitress and pointed out the error She gave me attitude and brought out the correct order However as my husband took a bite of his dish there was a long hair hanging from his fork When I called the manager over and explained firstly and attitude of the waitress and secondly the hair incident he didn t apologize All he asked was if we wanted it redone No of course not Appetite was all gone Then I had to even ask them to remove it from the bill Pour customer service and attitude completely uncalled for in a top rated restaurant ",144,"We loved the view and bar on the top floor The rooms are stylish and comfortable superior queen While we didn t use it the spa looked amazing and the neighborhood has some cute restaurants We dined at cafe ansari a couple times and the coffee at Balthasar is amazing ",52,9,8.3,20,137,1
"476093",476105,"Idea Hotel Milano San Siro","IT","Milan",45.4720654,9.0777871,"1","5","524","NULL","Family with young children","Leisure trip","1",20161120,"256 day",0,0,5742,1,66.6667,"Italy ","All",2,"No no no",4,6.9,4.6,7,229,1
"172948",172960,"Millennium Gloucester Hotel London","GB","London",51.4935083,-0.1834346,"21","813","13600","Standard","Couple","Leisure trip","1",20170530,"65 days",0,0,5726,1,100,"United Kingdom ","No Negative",0,"The room needs a better AC system otherwise everything was good",12,7.8,9.2,3,1444,1
"293383",293395,"Hotel Best Western PLUS Alfa Aeropuerto","ES","El Prat de Llobregat",41.3283758,2.1129638,"0","10","2500","NULL","Solo traveler","Leisure trip","1",20160630,"399 day",0,0,2521,1,100,"United States of America ","No Negative",0,"They allowed me to check in early and I was thrilled as I had traveled all night ",19,7.8,10,1,258,0
"190020",190032,"Le Mathurin Hotel Spa","FR","Paris",48.8732068,2.3239015,"54","2800","29100","NULL","Solo traveler","Business trip","4",20160424,"466 day",0,0,1184,1,75,"United Kingdom ","Nothing",2,"Smal Rooms Breakfast too expensive",6,8.6,5,8,135,1
"112879",112891,"Hilton London Metropole","GB","Paddington",51.5195688,-0.170521,"23","770","17100","NULL","Couple","Leisure trip","2",20151124,"618 day",0,0,6977,1,67.3077,"United Kingdom ","The heating only blew out cold air and one of the windows was stuck slightly ajar",17,"Overall we were very happy with the hotel and services the executive suite was a joy to stay in apart from a couple of minor things The staff were all very friendly and professional",35,7.5,8.8,1,1485,1
"460018",460030,"Ramada Apollo Amsterdam Centre","NL","Amsterdam",52.3681299,4.8440847,"4","170","4900","NULL","Group","Leisure trip","4",20160627,"402 day",0,0,5770,1,100,"Turkey ","No Negative",0,"A little far from the city centre but there s a tram line 13 in front of the hotel Incredibly perfect wifi Have a fantastic view of the city on the 17th floor where you have your rich enough breakfasts Also there are bikes to be rented ",49,8.2,8.3,20,926,0
"388699",388711,"Apex City Of London Hotel","GB","London",51.5104624,-0.0795502,"34","2300","13800","NULL","Group","Leisure trip","2",20160419,"471 day",0,0,2750,0,50,"United Kingdom ","Nothing maybe have pool",5,"Great facilities and location",5,9,10,1,623,1
"319416",319428,"Best Western PLUS Epping Forest","GB","London",51.603207,0.010607,"0","15","2200","Family","Solo traveler","Business trip","2",20161205,"241 day",0,0,587,1,57.8947,"United Kingdom ","Ticking noise from radiator on both nights",8,"Location with surrounding wooded area Staff very polite Good breakfast",11,7.5,5.8,3,193,0
"467471",467483,"Bermondsey Square Hotel A Bespoke Hotel","GB","London",51.4991134,-0.0790969,"12","956","13600","NULL","Solo traveler","Leisure trip","2",20170322,"134 day",0,0,844,0,43.1818,"United Kingdom ","There is no bar or minibar supplies and the restaurant area seemed to close quite early Breakfast could be improved but is okay ",25,"Rooms and bathrooms are excellent for a hotel of this size and price Interesting design and layout ",19,8.3,8.3,6,220,1
"415870",415882,"Catalonia Barcelona Plaza","ES","Barcelona",41.3750293,2.1491172,"35","1100","13400","NULL","Family with young children","Leisure trip","1",20160712,"387 day",1,1,4527,0,11.1111,"Australia ","Dishonesty of the reception staff Airconditioning Sounds like a plane taking off above your head",16,"Location",2,8.4,6.3,4,419,1
"362001",362013,"Hilton London Wembley","GB","London",51.5576962,-0.2835263,"11","554","2800","Deluxe","Couple","Leisure trip","1",20151026,"647 day",0,0,4305,0,33.3333,"United Kingdom ","Sky Bar 9 was a bit hit and miss on food The order took a long time to come from the kitchens with no real explanation as to why but saying that when the food arrived it was very good ",42,"Reception staff were very good Room was very comfortable and as expected Location to venue we were visiting was ideal",21,8.8,6.7,3,1427,0
"17128",17140,"Intercontinental London The O2","GB","London",51.5024348,-0.0002497,"1","111","3400","NULL","Couple","Leisure trip","1",20160429,"461 day",0,0,4204,0,48,"United Kingdom ","Ability to book parking Breakfast service was slow tea and coffee ",13,"Comfortable ben and the sky lounge Friendly welcome by the doorman",12,9.4,9.2,1,1258,0
"251999",252011,"TheWesley","GB","London",51.5265353,-0.1361682,"27","3500","20500","Superior","Couple","Leisure trip","2",20170122,"193 day",0,0,2347,0,40.4762,"United Kingdom ","The bed was two mattresses as opposed to one This proved to be uncomfortable The only thing that was an issue for me ",25,"Very friendly staff Excellent location in relation to Euston Station Very clean room and facilities ",17,8,9.2,1,556,1
"193101",193113,"Novotel London Blackfriars","GB","London",51.5050165,-0.1049831,"18","1300","21100","Superior","Family with young children","Leisure trip","2",20170601,"63 days",0,0,1362,0,0,"United Kingdom ","On booking com the pool area looks as if it has an aquarium in one wall However on accessing the pool area it became apparent that the aquarium was only a projection onto a white wall As all we could see was the white wall The sauna wasn t working either it was closed for cleaning We did like the pool However the water from the swimming pool mingled with the water in the spa pool so the spa pool wasn t hot it was the same temperature as the main pool We had the pool to ourselves which was nice as there were no other people using the pool at the same time as us On one evening children were running along the corridor and shouting at the top of their voice at midnight Don t know where their parents were ",144,"No Positive",0,8.7,9.2,4,231,0
"34620",34632,"H tel Le Marianne","FR","Paris",48.8725794,2.3075779,"41","2100","24700","NULL","Group","Leisure trip","3",20170708,"26 days",0,0,213,0,0,"United States of America ","Floors were very dirty the carpet was full of stains towels were ragged ",15,"No Positive",0,8.7,4.2,1,37,1
"446752",446764,"Hotel de France Wien","AT","Vienna",48.2146623,16.3627994,"22","1900","10400","NULL","Couple","Leisure trip","4",20160915,"322 day",0,0,5177,1,52.8302,"Romania ","The WIFI internet was poor in the room As a couple we had a room with twin beds instead of a double bed ",25,"Very friendly staff at the lobby Great location on the edge of the city center near a subway station The room was large and very clean ",28,8.5,9.2,14,416,0
"332133",332145,"Hotel Palace GL","ES","Barcelona",41.3916258,2.1716378,"22","4100","13900","NULL","Couple","Leisure trip","4",20160824,"344 day",0,0,1266,1,58.8235,"Israel ","the price is a bit high",7,"the lady named margo was very kind and helping",10,9.4,9.2,1,195,0
"401496",401508,"K K Hotel Picasso","ES","Barcelona",41.3866227,2.1840722,"28","2200","13100","Classic","Couple","Business trip","4",20161012,"295 day",0,0,1517,0,33.3333,"United Kingdom ","Beds awful ",4,"Location",2,8.9,7.1,6,211,0
"322265",322277,"DoubleTree By Hilton London Excel","GB","London",51.507377,0.038657,"3","50","2200","NULL","Couple","Leisure trip","3",20170116,"199 day",0,0,2726,0,35.2941,"United Kingdom ","Heating was loud and made the throat really dry ",11,"Friendly staff cookie on arrival",6,8.4,7.9,2,853,1
"492012",492024,"NH Milano Touring","IT","Milan",45.4769167,9.196665,"4","1500","10800","NULL","Group","Leisure trip","3",20170725,"9 days",0,0,4568,1,100,"Belgium ","No Negative",0,"Excellent breakfast ",4,8.4,8.8,11,436,1
"415482",415494,"Catalonia Barcelona Plaza","ES","Barcelona",41.3750293,2.1491172,"35","1100","13400","NULL","Solo traveler","Leisure trip","3",20160326,"495 day",0,0,4527,1,100,"United Kingdom ","No Negative",0,"Hotel is located in excellent location right in front of plaza espanya Aerobus metro etc right in front of hotel Excellent views from bedroom and terrace Very nice room and very comfy Huge shopping complex with cinema is located across the road Staff is very nice and polite I would strongly recommend this place ",56,8.4,10,1,419,1
"96349",96361,"citizenM London Bankside","GB","London",51.5051507,-0.1004724,"16","1300","20500","NULL","Couple","Leisure trip","1",20170124,"191 day",0,0,3802,0,36.8421,"United Kingdom ","Would have liked fried eggs with breakfast rather than nasty scrambled egg that was watery yuck However rest of breakfast was BRILLIANT ",24,"Very nice comfortable and fun hotel funky We loved it Great bedroom ",14,9.1,10,6,804,0
"329655",329667,"Hotel Vueling Bcn by HC","ES","Barcelona",41.3831641,2.1604736,"24","3500","14000","NULL","Solo traveler","Leisure trip","4",20150913,"690 day",0,0,1696,1,100,"Spain ","No Negative",0,"The staff are so friendly and provdide exceptional customer service No question or query is too big They even post your mail The location is superb as there is a smorgasbord of tapas resturants in walking distance ",39,8.8,10,1,167,1
"13967",13979,"Novotel London West","GB","London",51.4919588,-0.2200956,"8","540","7300","Superior","Couple","Leisure trip","3",20170802,"1 days",0,0,2443,1,100,"Comoros ","No Negative",0,"near the tube good breakfast",6,8.3,10,2,704,0
"439149",439161,"Catalonia Rigoletto","ES","Barcelona",41.385817,2.1256789,"5","472","9000","NULL","Solo traveler","Leisure trip","1",20161205,"241 day",0,0,1562,1,62.963,"Spain ","No indoor pool and poor gym just for cardio",10,"Big room and King size bed Excellent location if coming to Nou Camp or Palau Blaugrana",17,8.6,8.8,93,147,0
"295115",295127,"Holiday Inn London Regent s Park","GB","London",51.5222472,-0.1426128,"31","3600","20200","NULL","Couple","Leisure trip","2",20160623,"406 day",0,0,2266,0,0,"United Kingdom ","Cleanliness of bathroom could have been a lot better ",11,"No Positive",0,8.2,6.3,1,542,1
"374055",374067,"Expo Hotel Barcelona","ES","Barcelona",41.3792053,2.1427989,"14","1200","13000","NULL","Group","Leisure trip","1",20151010,"663 day",0,0,4646,1,76,"Singapore ","Not much restaurant around ",6,"Location very convenient for those who travels on train 5 mins walk to hotel Hotel is clean ",19,7.6,8.3,8,390,1
"22327",22339,"Les Plumes Hotel","FR","Paris",48.8766269,2.3432886,"55","4800","30000","NULL","Family with young children","Leisure trip","2",20170521,"74 days",0,0,514,0,46.0784,"Italy ","The mirror in the bathroom of room 202 is about 7 feet off the floor and above a fixed shelf no average size woman can see herself in it No full length mirror at all Not enough shelf space in the bathroom for myself and my teenage daughter to comfortably store our toiletries ",55,"The hotel is lovely great theme of famous literary figures very thoughtful and restrained decoration very nice staff Wonderful surprisingly large bathroom with amazing shower Very nice to have an honesty bar open all the time charming breakfast bar area Good use of space throughout ",47,8.8,8.8,32,42,0
