"Hotel_Name","Hotel_Country","Hotel_City","Hotel_lat","Hotel_lng","Businesses_100m","Businesses_1km","Businesses_5km","Room_Type_Level","Guest_Type","Trip_Type","Stay_Duration","Review_Date","Days_Since_Review","Is_Hotel_Holiday","Is_Reviewer_Holiday","Total_Number_of_Reviews","Review_Is_Positive","Review_Positivity_Rate","Reviewer_Nationality","Average_Score","Reviewer_Score","Total_Number_of_Reviews_Reviewer_Has_Given","Additional_Number_of_Scoring","Submitted_from_Mobile"
"H tel du Minist re","Francia","Paris",48.8712877,2.3191903,"116","62","156","Other","Solo traveler","Business trip",1,2016-11-05,271,"No","No",949,"Yes",77.7778,"United Kingdom ",8.8,10,4,83,"Yes"
"Alma Barcelona GL","España","Barcelona",41.3945074,2.1632659,"57","125","42","Deluxe","Group","Leisure trip",3,2016-06-14,415,"No","No",593,"No",10.9091,"Saudi Arabia ",9.2,8.3,1,87,"No"
"Park Grand Paddington Court","Gran Bretaña","London",51.5135555,-0.180002,"44","281","47","Other","Family","Leisure trip",4,2016-07-08,391,"No","No",6608,"Yes",100,"United States of America ",8.1,9.6,1,1243,"Yes"
"The Cumberland A Guoman Hotel","Gran Bretaña","London",51.514879,-0.1606501,"61","5","87","Deluxe","Couple","Leisure trip",3,2016-07-28,371,"No","No",5180,"No",18.1818,"Saudi Arabia ",7.5,4.6,11,1190,"No"
"Hilton London Wembley","Gran Bretaña","London",51.5576962,-0.2835263,"11","181","152","Other","Couple","Leisure trip",1,2015-10-11,662,"No","No",4305,"Yes",100,"United Kingdom ",8.8,10,3,1427,"Yes"
"Pullman Paris Montparnasse","Francia","Paris",48.8382943,2.3210421,"15","50","158","Other","Solo traveler","Business trip",1,2017-03-06,150,"No","No",1501,"No",30,"United Kingdom ",8.1,7.5,1,151,"No"
"Twenty Nevern Square Hotel","Gran Bretaña","London",51.4915712,-0.1963192,"62","277","3","Other","Family","Leisure trip",4,2016-10-24,283,"No","No",1719,"Yes",63.6364,"Switzerland ",8.3,7.5,1,305,"No"
"DoubleTree By Hilton London Excel","Gran Bretaña","London",51.507377,0.038657,"51","167","116","Other","Couple","Leisure trip",1,2017-06-27,37,"No","No",2726,"No",40.3846,"United Kingdom ",8.4,10,1,853,"Yes"
"Austria Trend Hotel Doppio Wien","Austria","Vienna",48.1854312,16.404884,"36","51","207","Classic","Couple","Leisure trip",2,2015-12-03,609,"No","No",3010,"Yes",56.4103,"Slovakia ",8.7,9.2,24,207,"No"
"Britannia International Hotel Canary Wharf","Gran Bretaña","London",51.5019097,-0.0232208,"95","145","192","Other","Solo traveler","Business trip",1,2016-01-07,574,"No","No",9086,"No",12.5,"United Kingdom ",7.1,4.2,5,2682,"Yes"
"Catalonia Square 4 Sup","España","Barcelona",41.3885658,2.1712991,"64","136","38","Deluxe","Couple","Leisure trip",6,2015-11-18,624,"No","No",1711,"Yes",100,"United States of America ",9.4,10,2,198,"Yes"
"Apollo Hotel Amsterdam","Holanda","Amsterdam",52.3486098,4.8844292,"51","12","236","Standard","Couple","Leisure trip",2,2015-11-26,616,"No","No",2968,"No",4.5045,"China ",8.2,6.7,15,419,"No"
"Hotel Die Port van Cleve","Holanda","Amsterdam",52.3741426,4.8907741,"90","111","236","Other","Couple","Leisure trip",3,2016-09-27,310,"No","No",1189,"Yes",73.5537,"United Kingdom ",8,10,1,191,"No"
"Bianca Maria Palace Hotel","Italia","Milan",45.4635445,9.2068649,"35","5","241","Other","Family","Leisure trip",2,2016-07-26,373,"No","No",2770,"No",29.0909,"Australia ",9,8.3,15,231,"Yes"
"Royal Saint Michel","Francia","Paris",48.8528364,2.3440803,"123","154","175","Other","Group","Leisure trip",1,2015-12-01,611,"No","No",1193,"Yes",62.5,"United Kingdom ",8,8.8,1,120,"Yes"
"Mercure Paris Centre Tour Eiffel","Francia","Paris",48.8548641,2.2923181,"95","17","72","Deluxe","Solo traveler","Business trip",2,2017-03-04,152,"No","No",2611,"Yes",63.1579,"United Kingdom ",8,9.2,4,333,"No"
"Les Jardins De La Villa Spa","Francia","Paris",48.8801757,2.2859534,"38","24","46","Other","Solo traveler","Business trip",3,2016-07-23,376,"No","No",622,"No",7.5,"United Kingdom ",8.8,5.8,4,50,"Yes"
"Golden Tulip Amsterdam West","Holanda","Amsterdam",52.385601,4.8470597,"73","28","203","Other","Couple","Leisure trip",4,2017-02-20,164,"No","No",7586,"No",34.7826,"United Kingdom ",8.5,8.3,2,914,"Yes"
"Holiday Inn London Kensington","Gran Bretaña","London",51.499981,-0.1928791,"50","5","7","Other","Solo traveler","Business trip",2,2017-01-02,213,"No","No",5945,"No",17.5439,"United Kingdom ",7.8,4.6,1,1172,"Yes"
"DoubleTree by Hilton London Islington","Gran Bretaña","London",51.5322508,-0.1095714,"68","41","114","Other","Family","Leisure trip",3,2017-07-08,26,"No","No",2277,"No",50,"United Kingdom ",8.6,4.6,1,685,"Yes"
"Sall s Hotel Pere IV","España","Barcelona",41.3969273,2.192267,"25","210","22","Other","Group","Leisure trip",3,2017-05-06,89,"No","No",3130,"No",34.2105,"United Kingdom ",7.9,7.5,2,252,"Yes"
"Sofitel Vienna Stephansdom","Austria","Vienna",48.212857,16.37986,"7","50","241","Deluxe","Couple","Leisure trip",4,2016-12-28,218,"No","No",1148,"No",26.5306,"United Arab Emirates ",9,8.3,20,137,"Yes"
"Idea Hotel Milano San Siro","Italia","Milan",45.4720654,9.0777871,"2","166","199","Other","Family","Leisure trip",1,2016-11-20,256,"No","No",5742,"Yes",66.6667,"Italy ",6.9,4.6,7,229,"Yes"
"Millennium Gloucester Hotel London","Gran Bretaña","London",51.4935083,-0.1834346,"38","267","36","Standard","Couple","Leisure trip",1,2017-05-30,65,"No","No",5726,"Yes",100,"United Kingdom ",7.8,9.2,3,1444,"Yes"
"Hotel Best Western PLUS Alfa Aeropuerto","España","Barcelona",41.3283758,2.1129638,"1","1","135","Other","Solo traveler","Leisure trip",1,2016-06-30,399,"No","No",2521,"Yes",100,"United States of America ",7.8,10,1,258,"No"
"Le Mathurin Hotel Spa","Francia","Paris",48.8732068,2.3239015,"78","86","165","Other","Solo traveler","Business trip",4,2016-04-24,466,"No","No",1184,"Yes",75,"United Kingdom ",8.6,5,8,135,"Yes"
"Hilton London Metropole","Gran Bretaña","London",51.5195688,-0.170521,"41","249","70","Other","Couple","Leisure trip",2,2015-11-24,618,"No","No",6977,"Yes",67.3077,"United Kingdom ",7.5,8.8,1,1485,"Yes"
"Ramada Apollo Amsterdam Centre","Holanda","Amsterdam",52.3681299,4.8440847,"62","40","195","Other","Group","Leisure trip",4,2016-06-27,402,"No","No",5770,"Yes",100,"Turkey ",8.2,8.3,20,926,"No"
"Apex City Of London Hotel","Gran Bretaña","London",51.5104624,-0.0795502,"56","65","38","Other","Group","Leisure trip",2,2016-04-19,471,"No","No",2750,"No",50,"United Kingdom ",9,10,1,623,"Yes"
"Best Western PLUS Epping Forest","Gran Bretaña","London",51.603207,0.010607,"1","27","116","Family","Solo traveler","Business trip",2,2016-12-05,241,"No","No",587,"Yes",57.8947,"United Kingdom ",7.5,5.8,3,193,"No"
"Bermondsey Square Hotel A Bespoke Hotel","Gran Bretaña","London",51.4991134,-0.0790969,"15","326","36","Other","Solo traveler","Leisure trip",2,2017-03-22,134,"No","No",844,"No",43.1818,"United Kingdom ",8.3,8.3,6,220,"Yes"
"Catalonia Barcelona Plaza","España","Barcelona",41.3750293,2.1491172,"57","5","34","Other","Family","Leisure trip",1,2016-07-12,387,"Yes","Yes",4527,"No",11.1111,"Australia ",8.4,6.3,4,419,"Yes"
"Hilton London Wembley","Gran Bretaña","London",51.5576962,-0.2835263,"11","181","152","Deluxe","Couple","Leisure trip",1,2015-10-26,647,"No","No",4305,"No",33.3333,"United Kingdom ",8.8,6.7,3,1427,"No"
"Intercontinental London The O2","Gran Bretaña","London",51.5024348,-0.0002497,"2","6","182","Other","Couple","Leisure trip",1,2016-04-29,461,"No","No",4204,"No",48,"United Kingdom ",9.4,9.2,1,1258,"No"
"TheWesley","Gran Bretaña","London",51.5265353,-0.1361682,"48","111","102","Deluxe","Couple","Leisure trip",2,2017-01-22,193,"No","No",2347,"No",40.4762,"United Kingdom ",8,9.2,1,556,"Yes"
"Novotel London Blackfriars","Gran Bretaña","London",51.5050165,-0.1049831,"33","17","108","Deluxe","Family","Leisure trip",2,2017-06-01,63,"No","No",1362,"No",0,"United Kingdom ",8.7,9.2,4,231,"No"
"H tel Le Marianne","Francia","Paris",48.8725794,2.3075779,"64","60","132","Other","Group","Leisure trip",3,2017-07-08,26,"No","No",213,"No",0,"United States of America ",8.7,4.2,1,37,"Yes"
"Hotel de France Wien","Austria","Vienna",48.2146623,16.3627994,"39","50","5","Other","Couple","Leisure trip",4,2016-09-15,322,"No","No",5177,"Yes",52.8302,"Romania ",8.5,9.2,14,416,"No"
"Hotel Palace GL","España","Barcelona",41.3916258,2.1716378,"39","132","39","Other","Couple","Leisure trip",4,2016-08-24,344,"No","No",1266,"Yes",58.8235,"Israel ",9.4,9.2,1,195,"No"
"K K Hotel Picasso","España","Barcelona",41.3866227,2.1840722,"49","62","31","Classic","Couple","Business trip",4,2016-10-12,295,"No","No",1517,"No",33.3333,"United Kingdom ",8.9,7.1,6,211,"No"
"DoubleTree By Hilton London Excel","Gran Bretaña","London",51.507377,0.038657,"51","167","116","Other","Couple","Leisure trip",3,2017-01-16,199,"No","No",2726,"No",35.2941,"United Kingdom ",8.4,7.9,2,853,"Yes"
"NH Milano Touring","Italia","Milan",45.4769167,9.196665,"62","29","9","Other","Group","Leisure trip",3,2017-07-25,9,"No","No",4568,"Yes",100,"Belgium ",8.4,8.8,11,436,"Yes"
"Catalonia Barcelona Plaza","España","Barcelona",41.3750293,2.1491172,"57","5","34","Other","Solo traveler","Leisure trip",3,2016-03-26,495,"No","No",4527,"Yes",100,"United Kingdom ",8.4,10,1,419,"Yes"
"citizenM London Bankside","Gran Bretaña","London",51.5051507,-0.1004724,"31","17","102","Other","Couple","Leisure trip",1,2017-01-24,191,"No","No",3802,"No",36.8421,"United Kingdom ",9.1,10,6,804,"No"
"Hotel Vueling Bcn by HC","España","Barcelona",41.3831641,2.1604736,"42","111","41","Other","Solo traveler","Leisure trip",4,2015-09-13,690,"No","No",1696,"Yes",100,"Spain ",8.8,10,1,167,"Yes"
"Novotel London West","Gran Bretaña","London",51.4919588,-0.2200956,"106","176","218","Deluxe","Couple","Leisure trip",3,2017-08-02,1,"No","No",2443,"Yes",100,"Comoros ",8.3,10,2,704,"No"
"Catalonia Rigoletto","España","Barcelona",41.385817,2.1256789,"73","155","232","Other","Solo traveler","Leisure trip",1,2016-12-05,241,"No","No",1562,"Yes",62.963,"Spain ",8.6,8.8,93,147,"No"
"Holiday Inn London Regent s Park","Gran Bretaña","London",51.5222472,-0.1426128,"53","116","99","Other","Couple","Leisure trip",2,2016-06-23,406,"No","No",2266,"No",0,"United Kingdom ",8.2,6.3,1,542,"Yes"
"Expo Hotel Barcelona","España","Barcelona",41.3792053,2.1427989,"25","12","30","Other","Group","Leisure trip",1,2015-10-10,663,"No","No",4646,"Yes",76,"Singapore ",7.6,8.3,8,390,"Yes"
"Les Plumes Hotel","Francia","Paris",48.8766269,2.3432886,"79","158","175","Other","Family","Leisure trip",2,2017-05-21,74,"No","No",514,"No",46.0784,"Italy ",8.8,8.8,32,42,"No"
"Strand Palace Hotel","Gran Bretaña","London",51.5110993,-0.1208673,"102","105","111","Other","Couple","Leisure trip",2,2016-05-04,456,"No","No",9568,"No",37.931,"United Kingdom ",8.1,6.7,1,2288,"Yes"
"Park Plaza London Riverbank","Gran Bretaña","London",51.4913737,-0.1214194,"84","251","110","Other","Couple","Couple",3,2016-02-29,521,"No","No",4684,"No",0,"United Kingdom ",8.3,9.2,1,1195,"Yes"
"Pullman Paris Tour Eiffel","Francia","Paris",48.8555664,2.2926243,"116","17","73","Deluxe","Couple","Leisure trip",1,2017-04-07,118,"No","No",2764,"No",16.2162,"Germany ",8.6,9.6,8,428,"No"
"Best Western Premier Faubourg 88","Francia","Paris",48.8776756,2.3493159,"58","122","167","Classic","Couple","Leisure trip",5,2016-08-17,351,"No","No",728,"Yes",52.6316,"New Zealand ",8.4,9.2,5,90,"No"
"The Student Hotel Amsterdam City","Holanda","Amsterdam",52.3546649,4.9131641,"84","173","230","Deluxe","Couple","Leisure trip",2,2017-05-08,87,"No","No",7656,"No",0,"Ireland ",8.7,7.9,1,975,"Yes"
"Sydney House Chelsea","Gran Bretaña","London",51.4910062,-0.1717691,"3","272","71","Other","Family","Family",1,2017-02-14,170,"No","No",585,"Yes",85.7143,"United Kingdom ",8.7,10,6,144,"Yes"
"Sixtytwo Hotel","España","Barcelona",41.3930168,2.1646148,"75","132","42","Family","Family","Leisure trip",4,2016-06-09,420,"No","No",1010,"Yes",100,"United States of America ",9.2,10,9,129,"Yes"
"Windsor Hotel Milano","Italia","Milan",45.4794587,9.1951427,"106","17","10","Other","Solo traveler","Leisure trip",1,2017-06-20,44,"No","No",2601,"Yes",100,"Philippines ",8.5,8.8,1,207,"No"
"Novotel Amsterdam City","Holanda","Amsterdam",52.333803,4.8884708,"51","64","236","Standard","Couple","Leisure trip",2,2016-01-03,578,"No","No",2501,"No",0,"United Kingdom ",7.8,4.6,1,341,"Yes"
"Best Western Hotel St George","Italia","Milan",45.4770906,9.2054208,"75","24","3","Standard","Couple","Leisure trip",1,2016-11-18,258,"No","No",1700,"Yes",93.1818,"Italy ",8.1,9.2,21,132,"No"
"Copthorne Tara Hotel London Kensington","Gran Bretaña","London",51.499046,-0.1917073,"62","5","10","Standard","Couple","Leisure trip",1,2016-09-07,330,"No","No",7105,"No",0,"United Kingdom ",8.1,3.3,1,1831,"Yes"
"Malmaison London","Gran Bretaña","London",51.520943,-0.1004581,"37","41","105","Standard","Solo traveler","Leisure trip",1,2017-08-02,1,"No","No",1374,"Yes",77.7778,"United Kingdom ",8.7,10,6,431,"Yes"
"H10 London Waterloo","Gran Bretaña","London",51.4988817,-0.1062888,"106","263","111","Other","Solo traveler","Business trip",1,2017-06-09,55,"No","No",1114,"Yes",84,"United Kingdom ",8.5,10,4,312,"No"
"Hotel Carlton s Montmartre","Francia","Paris",48.8819068,2.3410005,"68","132","175","Classic","Couple","Leisure trip",4,2016-07-31,368,"No","No",559,"No",0,"Poland ",7.8,9.6,6,37,"Yes"
"ME Milan Il Duca","Italia","Milan",45.4793852,9.1961308,"116","17","9","Other","Solo traveler","Leisure trip",2,2016-05-22,438,"No","No",683,"No",40.411,"United Kingdom ",9.2,9.2,23,93,"Yes"
"Thistle Holborn The Kingsley","Gran Bretaña","London",51.5179659,-0.1234343,"42","122","109","Other","Couple","Leisure trip",1,2016-03-24,497,"No","No",1593,"Yes",100,"United Kingdom ",8.5,9.6,2,387,"No"
"Pestana Chelsea Bridge Hotel Spa","Gran Bretaña","London",51.4815995,-0.1481053,"2","173","92","Deluxe","Couple","Leisure trip",7,2016-02-07,543,"No","No",1686,"No",25.8065,"Kuwait ",8.6,10,21,568,"Yes"
"The Ampersand Hotel","Gran Bretaña","London",51.4943077,-0.1755579,"80","259","61","Other","Couple","Leisure trip",2,2017-05-03,92,"No","No",902,"No",0,"United Kingdom ",9.1,7.5,7,220,"No"
"Negresco Princess 4 Sup","España","Barcelona",41.3905166,2.1725643,"59","136","38","Other","Family","Leisure trip",6,2017-04-04,121,"No","No",2369,"Yes",53.5714,"Switzerland ",8.9,9.6,5,229,"No"
"Room Mate Aitana","Holanda","Amsterdam",52.3846059,4.8941866,"95","55","236","Business","Couple","Business trip",1,2016-05-17,443,"No","No",4097,"No",33.3333,"Canada ",8.8,8.8,8,550,"No"
"Aparthotel Adagio Vienna City","Austria","Vienna",48.2110845,16.3838405,"11","17","238","Deluxe","Couple","Leisure trip",1,2016-09-03,334,"No","No",1787,"Yes",52.459,"South Africa ",8.1,8.3,23,169,"Yes"
"Doubletree by Hilton London Kensington","Gran Bretaña","London",51.4925138,-0.1787917,"95","234","52","Other","Family","Leisure trip",2,2015-11-24,618,"No","No",2367,"No",48.7179,"Norway ",8,7.5,1,541,"No"
"The Dylan Amsterdam","Holanda","Amsterdam",52.3654686,4.8798713,"38","65","234","Deluxe","Couple","Leisure trip",8,2016-12-29,217,"No","No",314,"Yes",100,"Thailand ",9.1,10,2,64,"No"
"Britannia International Hotel Canary Wharf","Gran Bretaña","London",51.5019097,-0.0232208,"95","145","192","Standard","Solo traveler","Business trip",3,2017-07-12,22,"No","No",9086,"No",34.6154,"Spain ",7.1,7.5,1,2682,"Yes"
"Thistle Euston","Gran Bretaña","London",51.5291423,-0.1372782,"51","62","100","Standard","Couple","Leisure trip",1,2016-05-23,437,"No","No",2474,"Yes",100,"United Kingdom ",8.3,8.3,1,744,"Yes"
"H10 Urquinaona Plaza","España","Barcelona",41.3892128,2.1726015,"86","136","38","Other","Couple","Leisure trip",1,2016-12-19,227,"No","No",1875,"Yes",100,"United Kingdom ",9.1,9.6,1,205,"Yes"
"The Exhibitionist Hotel","Gran Bretaña","London",51.4947754,-0.177789,"31","230","54","Deluxe","Couple","Leisure trip",3,2016-04-29,461,"No","No",1708,"No",50,"Portugal ",8.4,8.8,3,388,"Yes"
"BEST WESTERN Maitrise Hotel Maida Vale","Gran Bretaña","London",51.5366053,-0.1919832,"39","128","2","Deluxe","Couple","Leisure trip",1,2016-08-23,345,"No","No",1877,"Yes",100,"United Kingdom ",7.1,7.5,1,364,"Yes"
"art otel Amsterdam","Holanda","Amsterdam",52.377743,4.897057,"93","77","237","Other","Couple","Leisure trip",2,2016-07-05,394,"No","No",3158,"No",3.81471,"United Kingdom ",9,4.2,9,482,"Yes"
"Hotel Square","Francia","Paris",48.851589,2.2777274,"39","269","21","Other","Couple","Couple",2,2016-12-06,240,"No","No",148,"No",31.25,"Kuwait ",8.5,7.5,9,15,"Yes"
"Hilton Amsterdam","Holanda","Amsterdam",52.351381,4.872723,"62","296","232","Deluxe","Couple","Leisure trip",1,2015-11-26,616,"No","No",1064,"Yes",100,"Luxembourg ",8.3,10,10,168,"No"
"DoubleTree by Hilton London Islington","Gran Bretaña","London",51.5322508,-0.1095714,"68","41","114","Other","Couple","Leisure trip",2,2016-11-12,264,"No","No",2277,"Yes",100,"United Kingdom ",8.6,8.3,2,685,"Yes"
"Grange Clarendon Hotel","Gran Bretaña","London",51.5197933,-0.1241844,"57","131","109","Other","Couple","Leisure trip",1,2017-01-08,207,"No","No",823,"No",48,"United Kingdom ",8.1,7.1,2,171,"Yes"
"Grand Ferdinand Vienna Your Hotel In The City Center","Austria","Vienna",48.2022415,16.3749336,"48","67","3","Standard","Solo traveler","Business trip",2,2016-07-04,395,"No","No",2378,"No",21.4286,"United Kingdom ",8.6,7.1,11,282,"No"
"Kingsway Hall Hotel","Gran Bretaña","London",51.5158643,-0.1200625,"70","101","113","Standard","Group","Others",2,2016-04-12,478,"No","No",1363,"Yes",70.7006,"United Kingdom ",8.5,10,1,377,"No"
"Holiday Inn Paris Notre Dame","Francia","Paris",48.8528427,2.3422256,"90","142","176","Other","Couple","Leisure trip",3,2016-10-25,282,"No","No",1174,"Yes",100,"United Kingdom ",8.3,7.9,1,132,"Yes"
"Mercure Paris Place d Italie","Francia","Paris",48.830196,2.3529539,"33","12","159","Standard","Couple","Leisure trip",2,2015-08-05,729,"No","No",192,"Yes",100,"United Kingdom ",7.9,7.5,2,13,"Yes"
"Hilton London Metropole","Gran Bretaña","London",51.5195688,-0.170521,"41","249","70","Family","Family","Leisure trip",2,2016-06-27,402,"No","No",6977,"Yes",100,"Canada ",7.5,8.3,1,1485,"No"
"Artus Hotel by MH","Francia","Paris",48.8535639,2.3360169,"7","116","177","Standard","Couple","Leisure trip",4,2017-07-11,23,"Yes","Yes",261,"Yes",93.75,"Australia ",9,10,2,50,"No"
"Club Quarters Hotel Gracechurch","Gran Bretaña","London",51.5127964,-0.0847973,"64","73","56","Other","Couple","Leisure trip",2,2017-06-12,52,"No","No",2996,"No",28.3951,"United States of America ",8.2,9.2,1,764,"No"
"Hotel D Este","Italia","Milan",45.4510397,9.1920911,"39","302","8","Other","Couple","Couple",3,2015-09-01,702,"No","No",1085,"Yes",51.1111,"Germany ",8.1,4.2,11,96,"Yes"
"Pullman London St Pancras","Gran Bretaña","London",51.5286766,-0.1283489,"31","62","104","Deluxe","Couple","Leisure trip",2,2017-01-06,209,"No","No",3168,"Yes",100,"United Kingdom ",8.9,10,4,728,"Yes"
"Mercure Amsterdam Sloterdijk Station","Holanda","Amsterdam",52.3872884,4.8349748,"51","220","174","Standard","Couple","Leisure trip",1,2017-01-03,212,"No","No",3643,"Yes",100,"Netherlands ",8.6,10,3,498,"No"
"Graben Hotel","Austria","Vienna",48.2078955,16.3701084,"111","91","4","Standard","Couple","Leisure trip",5,2017-01-03,212,"No","No",657,"Yes",71.4286,"Chile ",8.6,9.2,10,66,"Yes"
"Ambassadors Bloomsbury","Gran Bretaña","London",51.5266618,-0.1296571,"38","106","104","Other","Couple","Leisure trip",1,2016-06-23,406,"No","No",1521,"No",29.8246,"United Kingdom ",7.9,7.9,4,398,"No"
"Club Quarters Hotel St Paul s","Gran Bretaña","London",51.5139298,-0.101126,"70","41","104","Other","Couple","Leisure trip",2,2015-09-22,681,"No","No",4117,"No",40,"United Kingdom ",8.4,8.8,1,918,"Yes"
"Barcel Sants","España","Barcelona",41.3798964,2.1412433,"29","12","29","Other","Couple","Leisure trip",3,2016-06-05,424,"No","No",4379,"No",0,"Qatar ",8.6,9.5,14,420,"No"
"Hotel Vondel Amsterdam","Holanda","Amsterdam",52.3625662,4.8779225,"35","50","233","Other","Couple","Leisure trip",2,2017-05-16,79,"No","No",1952,"No",32.5,"United Kingdom ",8,5.4,2,248,"No"
"Hotel City Central","Austria","Vienna",48.2037451,16.3356767,"124","336","242","Standard","Solo traveler","Leisure trip",4,2015-11-17,625,"No","No",2923,"Yes",100,"Serbia ",8.6,9.6,1,211,"Yes"
"The Grosvenor","Gran Bretaña","London",51.4956657,-0.1452793,"75","17","99","Other","Couple","Leisure trip",1,2016-03-19,502,"No","No",3274,"No",49.0566,"United Kingdom ",8.4,7.9,3,838,"No"
