colGPA	soph	junior	senior	senior5	male	campus	business	engineer	age	hsGPA	ACT	job19	job20	drive	bike	walk	voluntr	PC	greek	car	siblings	bgfriend	clubs	skipped	alcohol	gradMI	fathcoll	mothcoll
2.6	0	0	1	0	1	1	0	1	20	3.6	19	1	0	0	1	0	1	1	0	1	1	0	1	1	0	1	1	0
3	0	0	0	1	1	0	1	0	22	3.2	27	0	0	1	0	0	0	0	0	1	1	0	0	2	5	1	1	1
3.3	0	0	1	0	1	0	1	0	21	3.8	28	1	0	0	1	0	0	0	0	0	1	0	1	0.5	1	1	0	1
2.7	0	1	0	0	1	0	1	0	22	3.3	24	0	0	0	1	0	0	0	1	1	1	1	1	2	3	1	1	0
3	0	0	1	0	1	0	0	0	21	3.4	27	1	0	0	0	1	0	0	0	1	1	0	1	0	1	1	1	1
3.2	0	1	0	0	0	0	1	0	21	3	24	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1
2.7	0	1	0	0	1	0	1	0	20	3.6	27	0	0	0	0	1	0	0	0	0	1	0	1	1	3	1	0	1
3.6	0	0	1	0	0	1	1	0	21	3.9	26	1	0	0	0	1	0	1	0	0	1	0	0	1	2	1	1	0
2.4	0	0	1	0	0	0	1	0	21	3	19	0	0	1	0	0	0	0	1	1	1	0	1	2	3	1	0	1
2.9	0	0	1	0	0	0	1	0	21	3	24	0	0	0	1	0	0	0	0	1	1	1	0	1	2	1	0	0
3.3	0	0	1	0	0	1	0	0	21	3.3	26	1	0	0	1	0	0	1	0	1	1	0	1	1	1	1	0	0
3.5	0	1	0	0	1	0	1	0	20	3.3	28	0	0	0	0	1	1	1	0	1	1	0	1	0.5	1.5	1	1	1
3	0	0	1	0	1	0	0	0	21	3.2	22	0	0	0	0	1	0	0	0	1	1	0	1	2	3	1	1	1
3	0	0	1	0	1	0	1	0	21	3.4	27	0	1	0	1	0	1	0	1	1	1	0	1	0	2	1	1	1
2.8	0	0	1	0	0	0	0	1	21	3.7	26	1	0	0	1	0	1	1	0	0	1	0	1	0	1	0	0	1
2.9	0	0	1	0	1	1	0	0	21	3.4	26	0	0	0	1	0	0	1	0	1	1	0	0	0	2	1	1	1
3.8	0	0	1	0	1	0	0	1	22	3.9	30	0	1	0	1	0	1	1	1	1	1	1	1	2	7	1	1	1
2.5	0	1	0	0	0	0	1	0	20	3.6	24	0	1	0	0	1	0	0	1	1	1	0	0	2	1	1	0	0
3	0	1	0	0	1	0	1	0	21	4	26	0	0	0	1	0	0	0	1	1	1	0	1	1	4	1	0	0
3.2	0	1	0	0	0	0	1	0	20	3.6	21	0	1	0	1	0	1	0	0	0	1	0	1	1	2	1	1	1
2.2	0	0	1	0	1	1	1	0	21	3	24	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0	1	1
3.4	0	0	1	0	1	0	0	0	30	2.8	24	0	1	1	0	0	0	0	0	1	1	1	1	0	0	1	0	0
2.9	0	1	0	0	1	1	1	0	22	3.2	23	0	0	0	0	1	0	0	0	1	1	0	0	0	3	1	1	0
3.7	0	0	1	0	1	0	1	0	22	2.9	26	0	0	0	1	0	0	1	1	1	1	0	1	1	5	1	1	0
2.9	0	1	0	0	1	1	1	0	20	2.9	24	1	0	0	1	0	1	0	1	1	1	1	1	1	0.5	0	1	1
2.8	0	0	0	1	1	1	0	0	23	3.6	24	1	0	0	0	1	0	0	0	0	1	1	1	0.5	1	0	1	1
3.2	0	0	0	1	1	0	0	0	22	3.4	27	0	0	0	0	1	0	0	0	0	1	0	1	1	2	1	1	0
3.4	0	0	1	0	0	0	1	0	21	3.6	23	0	0	1	0	0	0	0	1	1	1	1	1	0.5	2	0	1	1
3	0	0	0	1	0	0	0	0	22	3.2	31	1	0	1	0	0	1	1	1	1	0	1	1	2	1	1	0	1
2.5	0	0	1	0	0	0	1	0	22	3.2	24	1	0	0	0	1	0	0	0	0	1	1	1	2	1	1	0	1
3.5	0	0	1	0	0	0	1	0	21	3.2	16	0	0	1	0	0	0	1	1	1	0	0	0	1	3	1	0	1
3.1	0	0	1	0	1	0	1	0	21	3.7	27	0	0	0	1	0	1	0	1	1	1	0	1	1	4	0	1	1
2.8	0	0	1	0	1	0	1	0	21	2.9	22	1	0	0	1	0	0	0	0	1	1	1	0	0	7	1	1	1
2.9	0	0	1	0	0	0	1	0	21	3.3	23	0	1	0	0	1	0	0	0	1	1	0	1	1	2	1	0	0
2.9	0	0	1	0	1	1	1	0	21	3.1	24	0	0	0	0	1	0	0	0	1	1	0	1	2	3	1	1	0
3.4	0	1	0	0	0	0	1	0	19	3.5	24	0	0	0	1	0	1	0	0	1	1	1	1	0	1	1	0	0
3.4	0	1	0	0	1	1	1	0	20	3.5	23	0	1	0	0	1	0	1	0	1	1	1	1	0	1.5	1	1	1
3.6	0	0	1	0	1	0	1	0	22	3.7	23	0	1	1	0	0	0	0	0	1	1	1	0	3	3	1	0	0
3.2	0	0	1	0	0	0	1	0	26	3	23	0	0	1	0	0	1	1	0	1	1	1	0	0.25	0.5	1	1	0
3.2	0	1	0	0	0	0	0	0	20	3.8	25	0	0	1	0	0	0	1	0	1	1	1	1	1	2	0	1	1
2.8	0	0	1	0	0	0	1	0	21	3.3	21	0	0	1	0	0	0	1	0	1	1	1	1	0	0.5	0	1	1
3.1	0	1	0	0	0	0	0	0	20	3.6	22	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0
2.8	0	1	0	0	1	1	1	0	20	3.2	24	1	0	0	0	1	1	1	1	1	1	0	1	1	2	1	0	0
3.4	0	0	1	0	1	0	1	0	21	3.6	27	0	0	0	0	1	0	1	0	1	1	1	1	3	3	1	1	0
2.7	0	0	1	0	1	0	0	0	21	3.5	29	0	1	0	1	0	0	0	1	1	1	0	0	0	3	1	1	1
3	0	1	0	0	0	0	1	0	20	3.7	24	1	0	0	1	0	0	1	0	1	1	0	0	0	2	1	0	0
2.5	0	0	1	0	1	0	1	0	21	2.7	25	0	0	0	1	0	0	1	0	1	1	0	0	0.5	3	1	0	1
2.5	0	0	1	0	1	0	0	0	25	3.1	23	0	0	1	0	0	0	0	0	1	1	1	0	1	1	1	0	0
2.7	0	0	1	0	0	0	1	0	21	3.4	22	0	0	0	1	0	1	0	0	1	1	1	1	1	2	1	1	0
3.6	0	1	0	0	1	0	1	0	20	3.3	24	0	0	0	0	1	0	1	0	0	1	0	1	0	3	1	1	1
2.9	0	1	0	0	0	0	1	0	20	3.4	23	1	0	0	0	1	0	1	0	1	1	0	1	1	0.5	1	1	1
2.8	0	0	1	0	0	0	1	0	21	3.5	26	0	0	0	0	1	1	1	1	1	1	1	0	1	2	1	1	1
3.9	0	0	1	0	1	0	0	0	22	3.9	26	1	0	0	1	0	0	1	0	1	1	0	0	0	0.5	1	0	0
2.8	0	1	0	0	1	0	1	0	20	3.5	22	0	0	0	1	0	0	0	0	1	1	1	1	2	2	1	0	0
3.9	0	0	1	0	0	0	1	0	21	4	26	1	0	0	0	1	1	1	0	1	1	0	1	0	2	1	1	1
3.2	0	1	0	0	1	0	1	0	21	2.9	28	1	0	0	1	0	1	0	1	1	1	1	1	1	2.5	1	1	0
3.3	0	0	1	0	1	0	1	0	22	3.3	24	0	0	0	1	0	0	0	1	1	1	1	0	2	4	0	1	1
3.3	0	1	0	0	1	0	1	0	20	3.5	24	0	0	0	1	0	0	0	0	0	1	0	1	2	2	1	0	0
3.2	0	0	1	0	0	1	1	0	21	3.5	23	1	0	0	0	1	0	0	0	0	1	1	1	0	1	1	1	0
3.1	0	0	0	1	1	1	0	0	22	3.1	16	0	1	0	0	1	1	1	0	1	1	1	1	0	0	1	1	0
3	0	1	0	0	1	0	1	0	20	3.1	21	1	0	0	0	1	0	1	1	0	1	0	0	1	0.5	1	0	1
3.4	0	1	0	0	1	0	1	0	20	3.7	30	1	0	1	0	0	0	0	1	1	1	0	0	5	3	1	0	0
3.1	0	1	0	0	1	0	1	0	20	3.3	23	1	0	0	1	0	0	0	1	0	1	1	1	2	1	1	1	1
3.2	0	0	1	0	0	0	1	0	21	3.7	23	1	0	0	0	1	1	0	0	0	1	0	1	2	0	1	0	0
3.3	0	0	1	0	1	0	1	0	20	3	23	1	0	0	0	1	0	1	0	1	1	1	0	0	3	1	1	1
3	0	0	1	0	0	0	0	0	21	3.8	22	1	0	1	0	0	0	0	0	1	1	1	0	1	3	1	1	1
2.8	0	0	1	0	0	0	1	0	21	3.5	22	0	0	0	1	0	0	0	1	0	1	0	0	1	2	1	1	1
2.8	0	0	1	0	1	0	0	0	21	3.6	25	1	0	1	0	0	0	0	1	1	1	1	0	3	0	1	0	0
2.7	0	1	0	0	1	0	1	0	20	3.5	27	1	0	0	1	0	0	0	0	1	1	0	0	4	3	1	0	0
2.6	0	0	1	0	0	1	0	0	21	3	19	0	1	0	0	1	1	0	0	1	0	1	1	1	0	1	0	1
2.9	0	1	0	0	1	0	1	0	19	3.8	23	1	0	1	0	0	0	0	0	0	1	0	1	1	2	0	1	1
3	0	1	0	0	0	0	1	0	20	3.5	26	1	0	0	0	1	0	0	0	0	1	1	0	2	1	1	0	1
3	0	0	0	1	0	0	1	0	22	3.6	22	0	0	0	1	0	1	0	1	1	0	0	1	0	2	1	1	1
2.9	0	0	1	0	0	0	0	0	22	3.8	24	0	1	0	0	1	0	0	0	0	1	1	1	2	1	0	0	0
3.3	0	1	0	0	0	0	1	0	20	3.6	26	0	1	0	0	1	0	0	0	1	1	1	1	0	0	1	0	1
2.7	0	0	1	0	0	0	1	0	21	3.3	23	0	0	0	0	1	0	1	0	1	1	1	1	1	3	1	0	0
3	0	1	0	0	1	0	1	0	20	3.2	21	1	0	1	0	0	0	1	0	1	1	0	1	1	1	1	1	1
2.9	0	0	1	0	1	0	1	0	20	3.3	22	0	0	0	1	0	1	0	1	1	1	0	0	2	1	1	1	0
3.8	0	1	0	0	1	1	1	0	20	3.6	26	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	1
2.9	0	1	0	0	1	1	1	0	20	3.8	30	0	0	0	0	1	0	1	0	1	1	0	1	0	1	1	1	0
3	0	0	1	0	1	0	1	0	22	3.3	22	1	0	0	1	0	0	1	0	1	1	0	1	0	3	1	1	0
3.2	0	0	1	0	1	0	1	0	21	3.2	19	0	0	0	0	1	0	0	1	0	1	1	0	0	3	1	0	0
3	0	0	0	1	0	0	1	0	22	3.3	23	0	1	0	0	1	1	0	0	1	1	1	1	0	0	1	0	0
2.3	0	0	1	0	1	0	1	0	21	3.6	25	0	1	0	0	1	0	0	0	1	1	0	0	1	1	1	0	0
2.8	0	1	0	0	0	0	1	0	20	3.4	21	0	1	0	1	0	0	0	0	1	1	1	0	0	0.3	1	0	0
3.4	0	1	0	0	1	1	1	0	20	3.7	26	0	0	0	0	1	0	0	1	1	1	1	1	3	4	1	0	1
2.8	0	0	1	0	1	0	0	0	21	3.3	28	1	0	0	1	0	0	0	0	0	1	1	1	3	2	1	1	1
