"id","Total.Household.Income","Region","Total.Food.Expenditure","Main.Source.of.Income","Agricultural.Household.indicator","Restaurant.and.hotels.Expenditure","Alcohol.and.tobacco.expenditure","Clothing..Footwear.and.Other.Wear.Expenditure","Housing.and.water.Expenditure","Imputed.House.Rental.Value","Medical.education.transport.and.communication.expenditure","Miscellaneous.goods.and.special.occasions.expenditure","Crop.Farming.and.Gardening.expenses","Total.Income.from.Entrepreneurial.Acitivites","Household.Head.Sex","Household.Head.Age","Household.Head.Marital.Status","Household.Head.Highest.Grade.Completed","Household.Head.Job.or.Business.Indicator","Household.Head.Occupation","Household.Head.Class.of.Worker","Total.Number.of.Family.members","Members.with.age.less.than.5.year.old","Members.with.age.5...17.years.old","Total.number.of.family.members.employed","Type.of.Building.House","House.Floor.Area","House.Age","Number.of.bedrooms","Electricity","Number.of.Car..Jeep..Van","Number.of.Cellular.phone","Number.of.Motorcycle.Tricycle"
22,272884,"VII - Central Visayas",101546,"Other sources of Income","0",0,7780,9793,30786,19200,44170,27594,8158,11937,"Male",47,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",3,0,0,0,"Single house",36,27,2,1,0,3,1
23,2132219,"NCR",343941,"Wage/Salaries","2",138800,7250,62310,412440,270000,222026,142502,0,0,"Male",50,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",6,0,1,5,"Single house",100,70,3,1,2,6,0
24,118134,"V - Bicol Region",42943,"Enterpreneurial Activities","0",4860,0,1205,15780,6000,23309,8356,17876,79692,"Male",37,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",5,0,3,0,"Single house",30,7,1,1,0,1,0
25,357082,"III - Central Luzon",200766,"Enterpreneurial Activities","0",86454,5160,7090,54900,24000,155460,17228,0,331500,"Male",51,"Married","High School Studies","With Job/Business","Tertiary Sector","Employer in own family-operated farm or business",6,0,3,0,"Single house",100,5,2,1,1,3,0
26,453130,"Caraga",83440,"Wage/Salaries","0",9000,1100,23440,47700,24000,111993,47808,0,22560,"Male",48,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",3,0,0,1,"Single house",38,23,1,1,1,6,0
27,76948,"XII - SOCCSKSARGEN",30299,"Enterpreneurial Activities","1",0,0,280,13362,10800,5854,9236,42134,56384,"Female",65,"Single","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",2,0,0,0,"Single house",23,40,2,1,0,1,0
28,1473966,"NCR",172637,"Other sources of Income","2",44365,1136,43796,402612,300000,269417,34049,0,200109,"Male",30,"Single","Program Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,0,0,1,"Single house",80,6,2,1,1,2,0
29,97907,"III - Central Luzon",54804,"Wage/Salaries","1",9600,7665,2220,20880,12000,3501,5510,0,0,"Male",48,"Married","No Studies","With Job/Business","Primary Sector","Worked for private establishment",6,0,4,4,"Single house",75,8,1,0,0,1,0
30,53144,"VIII - Eastern Visayas",36621,"Enterpreneurial Activities","1",390,2905,320,8412,4200,2840,804,10075,27450,"Male",78,"Married","No Studies","No Job/Business","No Occupation","Unemployed",2,0,0,0,"Single house",30,35,0,0,0,0,0
31,81200,"IVB - MIMAROPA",28604,"Enterpreneurial Activities","1",780,1826,480,4200,2400,7710,2168,45460,75460,"Male",29,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",2,0,0,0,"Single house",12,20,0,1,0,0,0
32,130820,"Caraga",97088,"Wage/Salaries","0",12300,0,2790,12600,6000,11135,5340,0,0,"Male",46,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",10,1,4,4,"Single house",15,15,0,1,0,2,0
33,147580," ARMM",116455,"Enterpreneurial Activities","1",0,390,2001,13572,6600,6886,4350,0,134480,"Male",39,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",8,0,6,0,"Single house",24,2,1,0,0,0,0
34,99605,"V - Bicol Region",64035,"Wage/Salaries","0",16170,865,2220,20058,10800,17637,6202,0,0,"Male",42,"Married","High School Studies","With Job/Business","Secondary Sector","Worked for private establishment",6,2,2,1,"Single house",50,1,2,1,0,2,0
35,271656,"V - Bicol Region",121727,"Wage/Salaries","0",3860,21256,6866,41886,24000,9298,7038,0,15500,"Female",80,"Widowed","Elementary Studies","No Job/Business","No Occupation","Unemployed",3,0,0,2,"Single house",40,55,2,1,0,1,1
36,385633,"CAR",100673,"Wage/Salaries","0",25090,0,1150,82182,66000,98410,19176,0,125433,"Male",35,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",2,0,0,1,"Single house",40,9,1,1,0,1,0
37,113082,"II - Cagayan Valley",71261,"Wage/Salaries","1",0,910,1810,21222,10800,15116,21144,38920,43200,"Male",59,"Married","Elementary Studies","With Job/Business","Primary Sector","Employer in own family-operated farm or business",5,1,0,1,"Single house",60,31,2,1,0,2,1
38,167575," ARMM",77184,"Enterpreneurial Activities","0",8620,0,4520,25020,15000,7776,6492,58995,151495,"Male",45,"Married","No Studies","No Job/Business","No Occupation","Unemployed",4,0,1,0,"Single house",96,8,3,1,0,2,0
39,306692,"Caraga",87801,"Other sources of Income","0",14660,11795,22768,81492,60000,28284,15162,16000,111550,"Male",41,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",3,0,2,0,"Multi-unit residential",35,15,2,1,1,5,1
40,105463,"VIII - Eastern Visayas",41552,"Other sources of Income","0",36300,660,1428,20280,16800,36645,7636,0,0,"Male",51,"Married","No Studies","No Job/Business","No Occupation","Unemployed",3,1,0,0,"Single house",15,17,2,1,0,1,0
41,132435,"III - Central Luzon",65759,"Enterpreneurial Activities","0",11330,14620,1705,11106,4200,14569,6618,0,68040,"Male",57,"Married","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",6,1,2,1,"Single house",70,25,1,1,0,1,0
42,222600,"VII - Central Visayas",64850,"Enterpreneurial Activities","0",2600,200,1965,43518,18000,9134,23304,0,126600,"Male",54,"Single","High School Studies","With Job/Business","Tertiary Sector","Employer in own family-operated farm or business",1,0,0,0,"Single house",40,17,0,1,0,2,0
43,945323,"III - Central Luzon",183367,"Other sources of Income","0",23500,9391,4570,131118,60000,613778,75734,0,0,"Male",62,"Married","Program Studies","No Job/Business","No Occupation","Unemployed",5,0,1,2,"Single house",170,3,4,1,1,5,1
44,65324,"I - Ilocos Region",33600,"Wage/Salaries","0",4560,0,500,11574,9000,9553,8624,10974,10974,"Male",70,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",4,1,1,1,"Single house",60,41,1,1,0,0,1
45,115155," ARMM",42230,"Enterpreneurial Activities","1",0,0,1740,10740,4800,26340,3168,0,105300,"Male",42,"Widowed","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",3,0,0,0,"Single house",30,21,1,0,0,1,0
46,426064,"NCR",132635,"Wage/Salaries","0",84600,5723,5200,72600,48000,35626,33446,0,153192,"Male",69,"Married","High School Studies","No Job/Business","No Occupation","Unemployed",4,0,0,1,"Single house",25,45,1,1,0,3,0
47,496265,"NCR",87118,"Other sources of Income","2",13425,1092,10797,126768,96000,72085,108074,0,0,"Female",34,"Widowed","Program Studies","With Job/Business","Tertiary Sector","Worked for private establishment",5,2,1,1,"Duplex",250,33,4,1,0,3,0
48,180081,"NCR",92213,"Wage/Salaries","2",27075,8179,350,37458,24000,23466,15864,0,0,"Male",48,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for private establishment",6,1,3,1,"Single house",36,15,2,1,0,1,0
49,149200,"IVA - CALABARZON",37944,"Wage/Salaries","0",20920,450,13980,24378,18000,14046,9684,0,0,"Male",35,"Divorced/Separated","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",1,0,0,1,"Single house",25,7,1,1,0,1,1
50,112676,"V - Bicol Region",69125,"Wage/Salaries","1",1420,3548,1770,14898,4800,6322,9032,0,0,"Male",38,"Married","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",5,0,2,2,"Single house",25,11,1,0,0,0,0
51,141174,"XI - Davao Region",61359,"Enterpreneurial Activities","1",1820,4100,2370,26448,6000,5617,4432,59310,67590,"Male",50,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",7,1,4,0,"Single house",15,2,2,1,0,1,0
52,310900,"CAR",94709,"Wage/Salaries","0",7365,2060,750,105102,90000,27468,49230,0,96100,"Male",41,"Married","Program Studies","With Job/Business","Secondary Sector","Worked for private establishment",2,0,0,1,"Single house",80,19,1,1,0,1,0
53,176368,"V - Bicol Region",53315,"Enterpreneurial Activities","0",1890,126,3575,25860,18000,14803,19770,67628,86228,"Male",43,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",6,0,2,1,"Single house",54,22,2,1,0,2,0
54,222426,"VI - Western Visayas",85476,"Wage/Salaries","0",9050,5934,0,54300,39000,8345,12718,0,20600,"Male",68,"Widowed","Program Studies","With Job/Business","Secondary Sector","Worked for private establishment",3,0,0,1,"Single house",100,29,4,1,0,2,0
55,72768,"V - Bicol Region",43001,"Wage/Salaries","0",0,8636,1620,7188,3600,4307,5106,6500,6500,"Male",55,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",4,0,2,3,"Single house",20,3,1,0,0,1,0
56,100217,"II - Cagayan Valley",60536,"Other sources of Income","0",8660,0,950,8622,2400,8908,6812,0,31562,"Female",26,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",3,0,0,0,"Single house",20,25,0,1,0,1,0
57,66370,"IX - Zasmboanga Peninsula",35485,"Wage/Salaries","1",1338,1320,1410,9750,6000,4130,2784,0,0,"Male",31,"Married","No Studies","With Job/Business","Primary Sector","Worked for private establishment",4,1,1,1,"Single house",15,5,1,0,0,0,0
58,1288000,"NCR",162181,"Wage/Salaries","2",86600,0,11628,204390,162000,80940,185620,0,0,"Male",65,"Widowed","Program Studies","No Job/Business","No Occupation","Unemployed",3,0,0,1,"Single house",250,15,4,1,0,1,0
59,136485," ARMM",58435,"Other sources of Income","0",5070,2080,6002,19320,15000,17270,13978,0,36000,"Male",37,"Married","Elementary Studies","No Job/Business","No Occupation","Unemployed",3,0,2,1,"Single house",14,17,1,1,0,3,0
60,925501,"VI - Western Visayas",197484,"Wage/Salaries","0",5500,13116,20559,103128,60000,116017,147974,41420,62060,"Male",64,"Married","Elementary Studies","With Job/Business","Primary Sector","Employer in own family-operated farm or business",11,2,2,3,"Single house",81,10,4,1,0,6,4
61,146200,"V - Bicol Region",81561,"Wage/Salaries","0",450,0,1350,21600,12000,8844,3744,0,0,"Female",84,"Widowed","Elementary Studies","No Job/Business","No Occupation","Unemployed",9,2,1,3,"Single house",48,14,2,1,0,2,0
62,217610,"IVA - CALABARZON",74592,"Other sources of Income","0",5700,0,2250,60132,45000,30603,13204,0,90000,"Female",56,"Widowed","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",3,0,1,1,"Single house",215,11,2,1,0,2,0
63,651480,"IVA - CALABARZON",164571,"Enterpreneurial Activities","0",48680,0,2435,108768,54000,54642,20646,0,500382,"Male",58,"Married","Program Studies","With Job/Business","Tertiary Sector","Employer in own family-operated farm or business",3,0,0,0,"Multi-unit residential",100,27,2,1,1,3,1
64,122380,"XI - Davao Region",70276,"Wage/Salaries","1",0,0,1760,9600,4800,2878,7842,35760,35760,"Male",47,"Married","No Studies","With Job/Business","Primary Sector","Worked for private establishment",3,0,0,2,"Single house",10,18,1,0,0,2,0
65,1158960,"XII - SOCCSKSARGEN",301597,"Wage/Salaries","0",102933,5460,25620,40020,9000,229732,92896,0,0,"Male",60,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",7,0,2,3,"Single house",30,18,2,1,0,4,2
66,46315,"XI - Davao Region",26097,"Other sources of Income","2",17376,42,185,6282,4200,9188,1086,9050,9050,"Female",55,"Widowed","Elementary Studies","No Job/Business","No Occupation","Unemployed",1,0,0,0,"Single house",26,16,1,1,0,1,0
67,116384,"XI - Davao Region",50984,"Enterpreneurial Activities","1",0,2495,760,18990,6000,3150,4720,67512,76152,"Male",35,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",4,1,1,2,"Single house",15,2,1,0,0,1,0
68,1002354,"CAR",211792,"Enterpreneurial Activities","0",4058,32225,4709,225120,180000,129624,42066,0,728930,"Male",52,"Married","High School Studies","With Job/Business","Tertiary Sector","Employer in own family-operated farm or business",6,1,0,2,"Single house",450,30,5,1,2,5,0
69,1054500," ARMM",224355,"Wage/Salaries","0",10400,7200,15335,90528,39000,60821,49794,0,0,"Male",61,"Divorced/Separated","Program Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",14,0,5,4,"Single house",50,12,3,1,0,5,1
70,313302,"XII - SOCCSKSARGEN",104974,"Enterpreneurial Activities","0",2157,7421,780,40494,10500,12576,6204,0,219022,"Male",44,"Married","No Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",5,0,2,0,"Single house",49,16,2,1,0,0,0
71,87768,"VI - Western Visayas",47006,"Wage/Salaries","0",0,3868,460,15750,9000,10566,3484,0,0,"Male",39,"Divorced/Separated","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",2,0,1,2,"Single house",10,17,1,1,0,1,0
72,58187,"III - Central Luzon",16901,"Other sources of Income","0",6500,0,0,10416,9000,1092,360,0,0,"Female",78,"Widowed","No Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",1,0,0,0,"Single house",20,29,0,1,0,0,0
73,184165,"CAR",77857,"Other sources of Income","1",30640,540,4590,12924,5400,22620,16043,57980,57980,"Male",49,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",7,0,5,3,"Single house",14,20,0,0,0,1,0
74,78030,"II - Cagayan Valley",25684,"Wage/Salaries","1",0,0,1130,7680,3300,1990,1766,0,0,"Female",64,"Divorced/Separated","No Studies","With Job/Business","Primary Sector","Worked for private establishment",2,0,0,2,"Single house",9,32,1,0,0,0,0
75,78778,"VIII - Eastern Visayas",35410,"Enterpreneurial Activities","1",0,1390,2915,8016,3300,1180,1888,49695,49695,"Female",46,"Divorced/Separated","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",2,0,1,0,"Single house",16,3,0,0,0,2,0
76,75029,"IX - Zasmboanga Peninsula",39232,"Enterpreneurial Activities","1",1500,980,1775,6960,2700,3941,3000,43088,43088,"Male",43,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",4,0,2,1,"Single house",15,5,1,0,0,1,0
77,148249,"X - Northern Mindanao",37091,"Enterpreneurial Activities","0",3140,4870,2298,19212,12000,9351,2530,43414,116964,"Male",46,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",4,1,1,0,"Single house",30,25,2,1,0,2,0
78,98193,"V - Bicol Region",58439,"Other sources of Income","0",95,1330,3473,12828,6000,5408,6064,27670,27670,"Male",68,"Married","Elementary Studies","With Job/Business","Primary Sector","Employer in own family-operated farm or business",3,0,1,1,"Single house",35,1,2,0,0,1,0
79,136230,"I - Ilocos Region",37726,"Enterpreneurial Activities","0",750,0,4100,48618,21000,19323,3144,0,107290,"Male",60,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",2,0,0,0,"Single house",140,11,3,1,0,1,1
80,68035,"V - Bicol Region",48600,"Enterpreneurial Activities","1",660,288,1100,10722,4800,2593,2394,0,38196,"Male",49,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",3,0,1,1,"Single house",56,24,2,1,0,0,0
81,35774,"V - Bicol Region",28582,"Enterpreneurial Activities","1",180,174,330,7032,1200,1032,600,13293,13293,"Male",78,"Widowed","No Studies","With Job/Business","Primary Sector","Employer in own family-operated farm or business",2,0,0,0,"Single house",6,5,0,0,0,0,0
82,202164,"NCR",111948,"Wage/Salaries","2",46890,2683,1645,37890,18000,20526,12202,0,0,"Male",47,"Single","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",3,0,0,1,"Multi-unit residential",47,12,2,1,0,2,0
83,2547548,"NCR",377451,"Wage/Salaries","2",174600,1169,21429,510600,360000,136604,85244,0,459028,"Male",54,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for private establishment",5,1,0,4,"Single house",540,29,5,1,2,4,2
84,268744,"VII - Central Visayas",59819,"Wage/Salaries","0",6810,1248,2000,23412,13800,21167,8314,40131,40131,"Male",68,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",7,0,2,2,"Single house",56,44,4,1,0,2,1
85,133873,"X - Northern Mindanao",34867,"Wage/Salaries","0",0,650,11400,6882,4800,13572,3954,11835,16585,"Male",44,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",4,0,0,1,"Single house",35,17,1,0,0,2,1
86,197478,"II - Cagayan Valley",88129,"Enterpreneurial Activities","1",11898,300,3180,15324,6600,7595,8521,93298,114958,"Male",55,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",8,2,1,4,"Single house",72,20,1,1,0,3,0
87,280084,"X - Northern Mindanao",75829,"Wage/Salaries","0",4940,0,5926,40980,24000,79888,45702,0,0,"Female",65,"Widowed","High School Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",2,0,0,2,"Single house",84,35,2,1,0,2,0
88,36193,"VIII - Eastern Visayas",21266,"Wage/Salaries","1",240,1440,230,11076,6600,408,3616,0,0,"Female",63,"Widowed","No Studies","With Job/Business","Primary Sector","Worked for private establishment",2,0,0,2,"Single house",90,37,0,0,0,0,0
89,733932,"IVB - MIMAROPA",203322,"Wage/Salaries","0",47500,780,13020,56946,12000,133008,62866,16819,62821,"Male",58,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",8,0,4,1,"Single house",90,10,3,1,0,4,0
90,59045,"CAR",43845,"Other sources of Income","1",3720,500,1930,10764,4800,7400,3196,15910,15910,"Male",38,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",6,1,3,1,"Single house",168,8,1,1,0,1,1
91,570492,"VII - Central Visayas",168210,"Other sources of Income","0",3880,0,5970,79362,42000,50919,95218,18600,140118,"Female",66,"Widowed","High School Studies","With Job/Business","Tertiary Sector","Worked without pay in own family-operated farm or business",7,1,1,0,"Single house",150,33,6,1,0,6,3
92,139560,"IVA - CALABARZON",95528,"Wage/Salaries","0",16610,5643,920,29238,18000,4678,7554,0,0,"Male",40,"Married","Elementary Studies","With Job/Business","Primary Sector","Worked for government/government corporation",8,3,2,2,"Single house",25,8,1,1,0,2,0
93,130552," ARMM",63199,"Enterpreneurial Activities","1",0,598,1760,15288,10800,14904,5106,110700,110700,"Male",46,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",5,0,2,0,"Single house",40,4,1,0,0,0,0
94,94185,"V - Bicol Region",53460,"Other sources of Income","0",12630,1769,1495,27246,21000,8471,7886,0,2352,"Female",81,"Widowed","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",6,1,1,3,"Single house",36,80,2,1,0,3,0
95,47004,"VI - Western Visayas",33114,"Other sources of Income","1",6920,280,680,5400,2700,1591,2572,0,8400,"Male",65,"Married","No Studies","With Job/Business","Primary Sector","Employer in own family-operated farm or business",2,0,0,2,"Single house",11,6,1,0,0,0,0
96,176550,"Caraga",98169,"Wage/Salaries","0",7200,450,536,47316,21000,10965,9021,0,0,"Male",65,"Married","Program Studies","With Job/Business","Secondary Sector","Worked for government/government corporation",5,0,3,2,"Single house",720,13,2,1,0,2,0
97,112569,"IVA - CALABARZON",62536,"Wage/Salaries","1",7800,510,5290,13620,6000,9242,10594,14120,15100,"Male",38,"Married","No Studies","With Job/Business","Primary Sector","Worked for private establishment",5,0,3,1,"Single house",50,25,2,1,0,0,0
98,218598,"NCR",137108,"Wage/Salaries","2",50650,6428,2770,45456,24000,33817,13686,0,59482,"Male",46,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,1,1,1,"Single house",22,10,0,1,0,2,0
99,44222,"II - Cagayan Valley",14382,"Wage/Salaries","0",0,760,1055,8700,3000,2215,900,0,0,"Male",72,"Married","Elementary Studies","No Job/Business","No Occupation","Unemployed",1,0,0,1,"Single house",24,6,0,0,0,0,0
100,345266,"NCR",181788,"Wage/Salaries","2",76400,17298,3460,74940,0,41465,26816,0,0,"Male",50,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",7,0,2,3,"Multi-unit residential",30,55,1,1,0,0,1
101,62189," ARMM",47137,"Enterpreneurial Activities","1",1070,2082,3410,10290,6600,12083,3642,38640,38640,"Male",50,"Married","High School Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",5,1,0,2,"Single house",18,13,1,1,0,1,0
102,339378,"XII - SOCCSKSARGEN",66796,"Wage/Salaries","0",2580,2002,5882,61620,12000,20318,40663,29730,29730,"Male",32,"Married","Program Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",3,0,1,1,"Single house",32,20,2,1,0,2,1
103,263363,"IVA - CALABARZON",86157,"Wage/Salaries","0",23000,570,6650,36600,0,29130,26150,0,0,"Male",29,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",2,0,0,2,"Single house",35,3,0,1,0,2,1
104,99649,"III - Central Luzon",30891,"Other sources of Income","0",12600,1040,1220,34152,30000,8030,4200,0,45630,"Female",74,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",1,0,0,0,"Multi-unit residential",30,50,2,1,0,1,0
